TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
SP500-011,IBOR-SP500,Buy,IBOR-JPM,100,311.45,USD,2024-03-02,LargeCapCore,CUST-JPM-002,BARC,2024-03-04,2024-03-04,10:19:06,NYSE,ORD-20240302-0011,ALLOC-20240302-0011,CP-CITI,DVP,20.58,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,LCH,Market,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
SP500-012,IBOR-SP500,Buy,IBOR-LLY,100,874.00,USD,2024-03-05,LargeCapCore,CUST-STATE-003,CS,2024-03-06,2024-03-06,11:04:37,NASDAQ,ORD-20240305-0012,ALLOC-20240305-0012,CP-JPM,DVP,66.23,USD,0,0,Settled,Confirmed,Aladdin,LSE,LCH,MOC,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
SP500-013,IBOR-SP500,Buy,IBOR-XOM,100,150.56,USD,2024-03-08,LargeCapCore,CUST-BNY-001,GS,2024-03-11,2024-03-11,08:22:34,ARCA,ORD-20240308-0013,ALLOC-20240308-0013,CP-BNP,DVP,3.84,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,LCH,TWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
SP500-014,IBOR-SP500,Buy,IBOR-MU,100,504.29,USD,2024-03-11,LargeCapCore,CUST-JPM-002,JPM,2024-03-12,2024-03-12,08:54:26,ARCA,ORD-20240311-0014,ALLOC-20240311-0014,CP-JPM,DVP,27.58,USD,0,0,Settled,Confirmed,Aladdin,CBOE,DTCC/NSCC,Limit,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
SP500-015,IBOR-SP500,Buy,IBOR-WMT,102,127.59,USD,2024-03-14,LargeCapCore,CUST-STATE-003,MS,2024-03-15,2024-03-15,10:27:11,CBOE,ORD-20240314-0015,ALLOC-20240314-0015,CP-HSBC,DVP,10.67,USD,0,0,Settled,Confirmed,Manual Entry,LSE,LCH,MOC,HSBC,DVP,DTCC,Reported,IBOR Trading Desk
SP500-016,IBOR-SP500,Buy,IBOR-JNJ,100,227.79,USD,2024-03-17,LargeCapGrowth,CUST-BNY-001,UBS,2024-03-18,2024-03-18,12:20:54,NASDAQ,ORD-20240317-0016,ALLOC-20240317-0016,CP-JPM,DVP,9.64,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,DTCC/NSCC,TWAP,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
SP500-017,IBOR-SP500,Buy,IBOR-AMD,100,323.21,USD,2024-03-20,LargeCapGrowth,CUST-JPM-002,BARC,2024-03-21,2024-03-21,15:36:39,ARCA,ORD-20240320-0017,ALLOC-20240320-0017,CP-BNP,DVP,7.21,USD,0,0,Settled,Confirmed,Aladdin,LSE,LCH,LOC,BNP Paribas,DVP,DTCC,Reported,IBOR Asset Management
SP500-018,IBOR-SP500,Buy,IBOR-V,100,309.30,USD,2024-03-23,LargeCapGrowth,CUST-STATE-003,CS,2024-03-25,2024-03-25,15:13:22,CBOE,ORD-20240323-0018,ALLOC-20240323-0018,CP-BNP,DVP,13.11,USD,0,0,Settled,Confirmed,FIX Gateway,CBOE,LCH,VWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
SP500-019,IBOR-SP500,Buy,IBOR-COST,100,994.00,USD,2024-03-26,LargeCapGrowth,CUST-BNY-001,GS,2024-03-27,2024-03-27,16:00:33,NASDAQ,ORD-20240326-0019,ALLOC-20240326-0019,CP-JPM,DVP,39.07,USD,0,0,Settled,Confirmed,Manual Entry,NYSE,LCH,MOC,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
SP500-020,IBOR-SP500,Buy,IBOR-MA,100,507.62,USD,2024-03-29,LargeCapGrowth,CUST-JPM-002,JPM,2024-04-01,2024-04-01,16:48:15,ARCA,ORD-20240329-0020,ALLOC-20240329-0020,CP-UBS,DVP,28.35,USD,0,0,Settled,Confirmed,Bloomberg OMS,NYSE,LCH,TWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
SP500-021,IBOR-SP500,Buy,IBOR-INTC,109,84.52,USD,2024-04-01,LargeCapGrowth,CUST-STATE-003,MS,2024-04-02,2024-04-02,12:14:25,NASDAQ,ORD-20240401-0021,ALLOC-20240401-0021,CP-CITI,DVP,6.74,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,LCH,Market,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
SP500-022,IBOR-SP500,Buy,IBOR-NFLX,100,92.27,USD,2024-04-04,LargeCapGrowth,CUST-BNY-001,UBS,2024-04-05,2024-04-05,16:33:22,ARCA,ORD-20240404-0022,ALLOC-20240404-0022,CP-HSBC,DVP,4.29,USD,0,0,Settled,Confirmed,Tradeweb,NYSE,LCH,LOC,HSBC,DVP,DTCC,Reported,IBOR Trading Desk
SP500-023,IBOR-SP500,Buy,IBOR-CAT,100,817.87,USD,2024-04-07,LargeCapGrowth,CUST-JPM-002,BARC,2024-04-08,2024-04-08,12:19:16,NASDAQ,ORD-20240407-0023,ALLOC-20240407-0023,CP-JPM,DVP,63.55,USD,0,0,Settled,Confirmed,Aladdin,LSE,DTCC/NSCC,TWAP,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
SP500-024,IBOR-SP500,Buy,IBOR-CVX,100,188.36,USD,2024-04-10,LargeCapGrowth,CUST-STATE-003,CS,2024-04-11,2024-04-11,16:48:44,NASDAQ,ORD-20240410-0024,ALLOC-20240410-0024,CP-BARC,DVP,7.03,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,LCH,MOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
SP500-025,IBOR-SP500,Buy,IBOR-BAC,155,52.66,USD,2024-04-13,LargeCapGrowth,CUST-BNY-001,GS,2024-04-15,2024-04-15,16:38:18,NYSE,ORD-20240413-0025,ALLOC-20240413-0025,CP-BARC,DVP,3.57,USD,0,0,Settled,Confirmed,Aladdin,LSE,DTCC/NSCC,TWAP,Barclays,DVP,DTCC,Reported,IBOR Asset Management
SP500-026,IBOR-SP500,Buy,IBOR-ABBV,100,197.69,USD,2024-04-16,LargeCapGrowth,CUST-JPM-002,JPM,2024-04-17,2024-04-17,12:00:45,NASDAQ,ORD-20240416-0026,ALLOC-20240416-0026,CP-CITI,DVP,4.67,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,DTCC/NSCC,MOC,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
SP500-027,IBOR-SP500,Buy,IBOR-PG,100,149.17,USD,2024-04-19,LargeCapGrowth,CUST-STATE-003,MS,2024-04-22,2024-04-22,10:40:55,ARCA,ORD-20240419-0027,ALLOC-20240419-0027,CP-JPM,DVP,13.4,USD,0,0,Settled,Confirmed,FIX Gateway,CBOE,LCH,TWAP,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
SP500-028,IBOR-SP500,Buy,IBOR-CSCO,100,86.86,USD,2024-04-22,LargeCapGrowth,CUST-BNY-001,UBS,2024-04-23,2024-04-23,15:30:28,CBOE,ORD-20240422-0028,ALLOC-20240422-0028,CP-MS,DVP,8.45,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,DTCC/NSCC,MOC,Morgan Stanley,DVP,DTCC,Reported,IBOR Trading Desk
SP500-029,IBOR-SP500,Buy,IBOR-UNH,100,366.77,USD,2024-04-25,LargeCapGrowth,CUST-JPM-002,BARC,2024-04-26,2024-04-26,09:52:04,ARCA,ORD-20240425-0029,ALLOC-20240425-0029,CP-UBS,DVP,9.51,USD,0,0,Settled,Confirmed,Tradeweb,NASDAQ,DTCC/NSCC,TWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
SP500-030,IBOR-SP500,Buy,IBOR-HD,100,329.06,USD,2024-04-28,LargeCapGrowth,CUST-STATE-003,CS,2024-04-29,2024-04-29,10:09:51,CBOE,ORD-20240428-0030,ALLOC-20240428-0030,CP-JPM,DVP,32.75,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,LCH,LOC,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
