ClientInternal,Name,Currency,Sector,Country,Exchange,Ticker,Isin,Cusip,Sedol,Figi,GicsSector,GicsIndustryGroup,GicsIndustry,MarketCap,CouponRate,DayCountConvention,IssuerCountry,InstrumentType,AssetClass,Region,PrimaryExchange,ListingStatus,ShareClass,VotingRights,DividendFrequency,DividendCurrency,LotSize,SettlementCycle,PriceSource,IndexMembership,CFICode,InstrumentClassification,CountryOfRisk,CountryOfIncorporation,LegalEntityIdentifier,ParValueCurrency,TradingCurrency,SettlementCurrency,ESGRating,CorporateGovernance,FloatPercentage,SharesOutstanding,AverageDailyVolume,Beta,PriceEarningsRatio,DividendYield,BookValuePerShare,RevenueGrowthRate,DebtToEquityRatio,ReturnOnEquity
IBOR-CSCO,CISCO SYSTEMS INC,USD,Information Technology,United States,NASDAQ,CSCO,US17275R1023,17275R102,2198163,BBG000C3J3C9,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Listed,Ordinary Shares,Non-Voting,Semi-Annual,USD,1000,T+1,Refinitiv,NASDAQ 100,ESXXXX,Equity / Common Stock / Listed,US,US,B48180E348D7813B6F18,USD,USD,USD,A,Partially Compliant,79.9,453000000,34573698,1.21,10.2,2.96,168.31,24.0,1.98,43.9
IBOR-CVX,CHEVRON CORP,USD,Energy,United States,New York Stock Exchange Inc.,CVX,US0304104323,34GLZYR9H,DBTCB12,BBG62DB1A830,10,1010,101020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class B Common,Non-Voting,Annual,USD,1000,T+1,Exchange,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,CA816DA46487FC15AE34,USD,USD,USD,B,Compliant,86.6,169000000,28066650,0.73,62.1,2.88,163.22,14.3,1.99,41.9
IBOR-DDOG,DATADOG INC CLASS A,USD,Information Technology,United States,NASDAQ,DDOG,US0853323240,8LO4VY6LE,R1NH0HL,BBGC9A7327BD,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Listed,Common Stock,Full Voting,Annual,USD,1,T+1,Exchange,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,981F16FA28364536A177,USD,USD,USD,BBB,Compliant,91.0,259000000,44441630,1.78,15.2,3.17,56.68,26.2,1.19,8.6
IBOR-DGXX,DIGI POWER X INC,USD,Information Technology,Canada,NASDAQ,DGXX,CA2001330344,CHPTF870Y,Y8Y01S0,BBGF9AF522F0,45,4510,451020,Mid Cap,,,CA,Equity,Equities,North America,TSX,Trading,Class B Common,Non-Voting,None,USD,1,T+1,Bloomberg,S&P/TSX Composite,ESVUFR,Equity / Common Stock / Listed,CA,CA,A5B332C367829D770C90,USD,USD,USD,B,Partially Compliant,98.9,432000000,6565254,1.35,16.9,0,128.58,38.6,1.33,36.2
IBOR-ENR,SIEMENS ENERGY N AG,EUR,Industrials,Germany,Xetra,ENR,DE7319394257,HP1ULQ2FB,BHF79TX,BBG94F90F93A,20,2010,201030,Mid Cap,,,DE,Equity,Equities,Europe,XETRA,Active,Class A Common,Full Voting,Annual,EUR,100,T+2,ICE,MDAX,ESVUFR,Equity / Common Stock / Listed,DE,DE,2D91F442D2A3481F3F28,EUR,EUR,EUR,AA,Watch,81.9,399000000,12583413,0.82,15.5,3.51,125.84,7.0,2.74,11.4
IBOR-ETOR,ETORO GROUP LTD CLASS A,USD,Financials,Israel,NASDAQ,ETOR,IL0112704564,BY4D2F3DE,G9Y53VL,BBGB52D3698C,40,4010,401020,Mid Cap,,,IL,Equity,Equities,Global,TASE,Trading,Class A Common,Non-Voting,Annual,USD,1,T+2,Exchange,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,IL,IL,92231EAA7331B05A5296,USD,USD,USD,BB,Compliant,72.1,226000000,39931269,1.08,77.3,2.82,94.08,10.1,3.0,43.4
IBOR-FN,FABRINET,USD,Information Technology,United States,New York Stock Exchange Inc.,FN,US3937290250,1Z5I07SFI,SD9WR01,BBG7155F18E8,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NYSE,Active,Class B Common,Limited Voting,Annual,USD,100,T+1,ICE,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,C95EE83D9373A4087294,USD,USD,USD,BBB,Partially Compliant,70.2,492000000,46523224,1.62,78.2,3.66,150.31,36.6,2.71,39.9
IBOR-GE,GE AEROSPACE,USD,Industrials,United States,New York Stock Exchange Inc.,GE,US5803729628,W3664TSPF,PXTFD9F,BBGD4EAE786A,20,2010,201030,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Class A Common,Full Voting,Semi-Annual,USD,100,T+1,Refinitiv,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,4D4C5DDC48AFAB9D9290,USD,USD,USD,B,Compliant,79.0,275000000,2739055,1.11,61.3,0.54,62.55,32.4,0.53,10.9
IBOR-GEMI,GEMINI SPACE STATION INC CLASS A,USD,Financials,United States,NASDAQ,GEMI,US7220472178,GMZ75TW2W,DM766WV,BBG64965AE91,40,4010,401020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Trading,Class A Common,Full Voting,Annual,USD,1000,T+1,ICE,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,0B6481D40DCF0BBF9F24,USD,USD,USD,BBB,Compliant,74.1,165000000,45887316,1.33,78.6,3.88,161.89,13.3,2.37,5.6
IBOR-GEV,GE VERNOVA INC,USD,Industrials,United States,New York Stock Exchange Inc.,GEV,US1263910918,IRB9ZXNHK,1N0LG8R,BBG3421E2C3B,20,2010,201030,Mid Cap,,,US,Equity,Equities,North America,NYSE,Listed,Class A Common,Limited Voting,Annual,USD,1000,T+1,ICE,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,9FC701B0BE258D7F8596,USD,USD,USD,AA,Partially Compliant,70.7,337000000,22512128,1.34,25.5,0.44,165.65,40.5,0.91,23.4
IBOR-GLW,CORNING INC,USD,Information Technology,United States,New York Stock Exchange Inc.,GLW,US0042925116,0K2Z485DZ,SLQM0NJ,BBG4BBE43D83,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Active,Common Stock,Non-Voting,None,USD,1,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,6FB2BB950EA6169C5778,USD,USD,USD,AA,Partially Compliant,83.2,393000000,47240249,1.76,39.3,0,149.74,2.7,1.24,9.5
IBOR-GLXY,GALAXY DIGITAL INC CLASS A,USD,Financials,United States,NASDAQ,GLXY,US7090209409,40W4J3B48,CJ2Y737,BBG3F303BF03,40,4010,401020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class B Common,Non-Voting,Quarterly,USD,100,T+1,Refinitiv,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,768C3CBA8D75FB346066,USD,USD,USD,AA,Partially Compliant,72.9,401000000,25151431,1.23,78.4,1.56,82.64,4.5,0.37,43.2
IBOR-GOOG,ALPHABET INC CLASS C,USD,Communication,United States,NASDAQ,GOOG,US02079K1079,02079K107,BYYP816,BBG009S3NB30,99,9999,999999,Mid Cap,,,US,Equity,Equities,North America,ARCA,Active,Ordinary Shares,Limited Voting,Quarterly,USD,1,T+1,ICE,NASDAQ 100,ESXXXX,Equity / Common Stock / Listed,US,US,B7811FCEFD8F6C603D26,USD,USD,USD,CCC,Watch,76.0,474000000,37692255,0.85,25.1,3.5,69.07,2.4,2.7,5.1
IBOR-GOOGL,ALPHABET INC CLASS A,USD,Communication,US,NASDAQ,GOOGL,US02079K3059,02079K305,BYVY8G0,BBG009S39JX6,99,9999,999999,Mid Cap,,,US,Equity,Equities,Global,OTC,Active,Class A Common,Full Voting,Quarterly,USD,1,T+2,Refinitiv,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,4DAA239C95755A3F1E55,USD,USD,USD,CCC,Compliant,87.1,58000000,12193464,0.89,18.9,1.8,27.16,-1.8,1.34,21.3
IBOR-GS,GOLDMAN SACHS GROUP INC,USD,Financials,United States,New York Stock Exchange Inc.,GS,US7107501676,5NIMGFHVZ,J3VT5CC,BBG2FE5AD0CD,40,4010,401020,Mid Cap,,,US,Equity,Equities,North America,NYSE,Listed,Ordinary Shares,Limited Voting,Quarterly,USD,100,T+1,Exchange,S&P 500,ESXXXX,Equity / Common Stock / Listed,US,US,EE789FC5AD5FBB586817,USD,USD,USD,BBB,Partially Compliant,82.4,105000000,33401385,1.33,41.0,3.62,67.81,2.4,0.38,33.1
IBOR-HD,HOME DEPOT INC,USD,Consumer Discretionary,United States,New York Stock Exchange Inc.,HD,US4370761029,437076102,2434209,BBG000BKZB36,25,2510,251020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Listed,Class A Common,Non-Voting,None,USD,1,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,2F1A98FAFF976AA70965,USD,USD,USD,BBB,Compliant,82.0,473000000,30933796,0.98,61.1,0,65.95,10.6,0.76,47.9
IBOR-HIVE,HIVE DIGITAL TECHNOLOGIES LTD,USD,Information Technology,Canada,NASDAQ,HIVE,CA3812522449,K8QQB14ZR,W70J05B,BBG3D59D50F3,45,4510,451020,Mid Cap,,,CA,Equity,Equities,North America,TSX,Active,Common Stock,Full Voting,Quarterly,USD,1000,T+1,Bloomberg,MSCI Canada,ESVUFR,Equity / Common Stock / Listed,CA,CA,65286910BAE783C5FA26,USD,USD,USD,BB,Compliant,87.0,337000000,38193933,1.26,18.6,1.54,134.74,32.5,2.6,37.4
IBOR-HOOD,ROBINHOOD MARKETS INC CLASS A,USD,Financials,United States,NASDAQ,HOOD,US2514954352,1U5LZYBNE,5N53QQW,BBGA8251A059,40,4010,401020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Trading,Class A Common,Non-Voting,Quarterly,USD,10,T+1,Refinitiv,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,BC323FCE1165B101C738,USD,USD,USD,CCC,Compliant,80.2,334000000,25166604,0.97,29.5,1.06,88.68,23.0,2.3,33.0
IBOR-HUT,HUT CORP,USD,Information Technology,United States,NASDAQ,HUT,US1221021173,IDIHEGBNJ,BL3PN1R,BBG5B665FBBC,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NYSE,Trading,Class A Common,Full Voting,Semi-Annual,USD,100,T+1,ICE,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,A22D40AE9D2B8244AC54,USD,USD,USD,AAA,Compliant,95.2,339000000,44613651,1.32,19.9,2.61,10.98,32.3,0.65,23.9
IBOR-IBM,INTERNATIONAL BUSINESS MACHINES CO,USD,Information Technology,United States,New York Stock Exchange Inc.,IBM,US4592001014,459200101,2005973,BBG000BLNNH6,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Active,Class A Common,Non-Voting,Annual,USD,1,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,791484C9AE8D54B2B330,USD,USD,USD,CCC,Watch,71.4,91000000,18760512,1.35,39.7,2.51,85.77,5.8,1.54,20.5
IBOR-IFX,INFINEON TECHNOLOGIES AG,EUR,Information Technology,Germany,Xetra,IFX,DE2542347265,14661IYO0,CGL65HW,BBG08F3318F0,45,4510,451020,Mid Cap,,,DE,Equity,Equities,Europe,XETRA,Listed,Class B Common,Limited Voting,Annual,EUR,1,T+2,Refinitiv,MDAX,ESVUFR,Equity / Common Stock / Listed,DE,DE,19D84C2AD36BA746B886,EUR,EUR,EUR,AAA,Compliant,75.9,158000000,9709671,1.61,30.3,0.66,101.99,16.5,0.39,29.0
IBOR-INTC,INTEL CORPORATION CORP,USD,Information Technology,United States,NASDAQ,INTC,US4581401001,458140100,2463247,BBG000C0G023,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Class A Common,Full Voting,None,USD,1,T+1,Exchange,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,31729604D5BA390E7968,USD,USD,USD,AAA,Partially Compliant,86.7,343000000,27640360,1.57,39.2,0,27.46,-4.0,0.97,41.1
IBOR-IREN,IREN LTD,USD,Information Technology,United States,NASDAQ,IREN,AU0000268037,Q4901L105,BPG1JR0,BBG010FZC4G1,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class A Common,Full Voting,None,USD,1,T+1,Refinitiv,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,6535F87ACB549290B985,USD,USD,USD,BBB,Watch,72.3,495000000,21322173,1.6,25.5,0,156.93,-1.2,1.9,28.9
IBOR-KEEL,KEEL INFRASTRUCTURE CORP,USD,Information Technology,Canada,NASDAQ,KEEL,CA5832521239,WUKSCVRPU,RHT7CK9,BBG8F227B8D5,45,4510,451020,Mid Cap,,,CA,Equity,Equities,North America,TSX,Listed,Class A Common,Limited Voting,Semi-Annual,USD,10,T+1,Bloomberg,S&P/TSX Composite,ESVUFR,Equity / Common Stock / Listed,CA,CA,03A9947688E2E8BD9D42,USD,USD,USD,AA,Compliant,87.5,439000000,44490465,1.06,76.6,2.59,95.47,23.2,1.74,35.7
IBOR-KLAC,KLA CORP,USD,Information Technology,United States,NASDAQ,KLAC,US4824801009,482480100,2480147,BBG000BMTFR4,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Trading,Class A Common,Full Voting,None,USD,1,T+1,Exchange,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,66BBF13AC9DB043FD690,USD,USD,USD,A,Partially Compliant,87.2,230000000,34546802,1.06,42.3,0,12.33,13.4,0.86,34.0
IBOR-KO,COCA-COLA,USD,Consumer Staples,United States,New York Stock Exchange Inc.,KO,US5543318597,NLDZCPATZ,Q6WVC31,BBG31E03C093,30,3010,301010,Mid Cap,,,US,Equity,Equities,North America,NYSE,Trading,Class B Common,Non-Voting,Quarterly,USD,1000,T+1,Refinitiv,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,BDD0DF14D89155E26587,USD,USD,USD,BBB,Watch,74.4,81000000,30734094,0.77,72.9,1.51,144.29,20.2,0.52,16.1
IBOR-KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,USD,Industrials,United States,NASDAQ,KTOS,US4300155688,LAVEM2QQB,XDPTMD4,BBGD1305296E,20,2010,201030,Mid Cap,,,US,Equity,Equities,North America,ARCA,Listed,Ordinary Shares,Non-Voting,Annual,USD,100,T+1,Exchange,MSCI USA,ESXXXX,Equity / Common Stock / Listed,US,US,A89354167B3DF7D7A053,USD,USD,USD,B,Watch,71.5,373000000,43939927,0.93,33.1,2.32,80.38,7.6,2.55,48.4
IBOR-LIN,LINDE PLC,USD,Materials,United States,NASDAQ,LIN,US9023535445,0F1M8IG5M,CBG8Y5K,BBGB09F54188,15,1510,151040,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Listed,Common Stock,Limited Voting,Semi-Annual,USD,100,T+1,ICE,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,D8091895F233886ABA26,USD,USD,USD,BB,Watch,97.2,208000000,38008625,0.96,65.4,3.29,135.67,36.4,2.22,35.8
IBOR-LITE,LUMENTUM HOLDINGS INC,USD,Information Technology,United States,NASDAQ,LITE,US2905246228,LLG0WT70C,MKGG4Q4,BBGFC3734DD3,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,NYSE,Trading,Class B Common,Limited Voting,Annual,USD,1,T+1,ICE,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,EFE4F81CCC7FBEC40B33,USD,USD,USD,AA,Partially Compliant,97.5,298000000,13385253,1.18,19.6,0.49,169.66,0.1,2.31,42.6
IBOR-LLY,ELI LILLY,USD,Health Care,US,NYSE,LLY,US5324571083,532457108,2516152,BBG000CNMBS6,99,9999,999999,Mid Cap,,,US,Equity,Equities,Global,OTC,Trading,Class A Common,Limited Voting,Semi-Annual,USD,1000,T+2,Refinitiv,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,277A0BC5E76FF2ECE733,USD,USD,USD,CCC,Watch,92.4,464000000,11609145,1.2,13.1,1.58,145.32,43.5,1.83,38.9
IBOR-LRCX,LAM RESEARCH CORP,USD,Information Technology,United States,NASDAQ,LRCX,US5128071082,512807108,2502247,BBG000BNFLM9,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Active,Ordinary Shares,Non-Voting,None,USD,10,T+1,ICE,MSCI USA,ESXXXX,Equity / Common Stock / Listed,US,US,62D4A3F0584FB87C3969,USD,USD,USD,CCC,Partially Compliant,92.6,307000000,35897227,1.33,21.3,0,43.94,25.2,2.62,7.3
IBOR-LSCC,LATTICE SEMICONDUCTOR CORP,USD,Information Technology,United States,NASDAQ,LSCC,US2650310850,2IDOQGR1A,9NBSWJV,BBG939CEFDCD,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Listed,Common Stock,Limited Voting,Quarterly,USD,100,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,C1E591335B5DACE08644,USD,USD,USD,BBB,Watch,74.3,273000000,6654793,1.76,25.5,1.91,73.17,-3.7,0.16,27.6
IBOR-MA,MASTERCARD INC CLASS A,USD,Financials,United States,New York Stock Exchange Inc.,MA,US2060396554,6OLTBJBLR,L24Q9CY,BBGF4706C369,40,4010,401020,Mid Cap,,,US,Equity,Equities,North America,NASDAQ,Listed,Common Stock,Non-Voting,Semi-Annual,USD,1,T+1,ICE,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,4FEBDE368DC9A12AB593,USD,USD,USD,A,Compliant,74.0,196000000,32205913,1.32,19.7,2.88,92.48,-4.7,0.24,16.5
IBOR-MARA,MARA HOLDINGS INC,USD,Information Technology,US,NASDAQ,MARA,US5657881067,565788106,BN7K2V4,BBG000BLS2K2,45,4510,451020,Mid Cap,,,US,Equity,Equities,Global,OTC,Trading,Class B Common,Full Voting,Annual,USD,10,T+2,ICE,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,D71EF0CC9D3B69100E16,USD,USD,USD,AA,Partially Compliant,88.5,368000000,31176375,1.05,68.6,2.1,109.53,26.6,1.73,37.3
IBOR-MCD,MCDONALDS CORP,USD,Consumer Discretionary,United States,New York Stock Exchange Inc.,MCD,US2338122135,Z087FQAPS,9XJRSP9,BBG1ABF570A7,25,2510,251020,Mid Cap,,,US,Equity,Equities,North America,CBOE,Listed,Common Stock,Limited Voting,Annual,USD,10,T+1,Exchange,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,FB240BE8C83DAE3B9E95,USD,USD,USD,B,Compliant,85.2,234000000,5041882,1.37,48.1,3.19,103.99,-4.0,2.62,7.0
IBOR-META,META PLATFORMS INC CLASS A,USD,Communication,US,NASDAQ,META,US30303M1027,30303M102,B7TL820,BBG000MM2P62,99,9999,999999,Mid Cap,,,US,Equity,Equities,Global,OTC,Listed,Class A Common,Limited Voting,Quarterly,USD,100,T+2,Bloomberg,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,AE3FBCB2F2D23698AD40,USD,USD,USD,B,Watch,88.2,445000000,39550870,1.21,33.3,0.37,111.47,35.7,0.53,40.1
IBOR-MPWR,MONOLITHIC POWER SYSTEMS INC,USD,Information Technology,United States,NASDAQ,MPWR,US2665238431,2TPY36WP6,VFLPJNR,BBGEFB9C5C19,45,4510,451020,Mid Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class B Common,Limited Voting,Semi-Annual,USD,10,T+1,Bloomberg,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,4DE20BB6FC41B655AA14,USD,USD,USD,A,Compliant,71.3,152000000,3312260,1.25,31.7,1.71,164.0,18.7,0.11,34.1
IBOR-MRK,MERCK & CO INC,USD,Health Care,United States,New York Stock Exchange Inc.,MRK,US58933Y1055,58933Y105,2778844,BBG000BPD168,99,9999,999999,Small Cap,,,US,Equity,Equities,North America,CBOE,Listed,Common Stock,Limited Voting,Annual,USD,100,T+1,Bloomberg,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,78863D8DEF92522B8E65,USD,USD,USD,BBB,Watch,82.8,108000000,23252362,1.38,44.7,2.09,185.24,21.0,2.4,37.7
IBOR-MS,MORGAN STANLEY,USD,Financials,United States,New York Stock Exchange Inc.,MS,US7066320402,EUOUH3YMP,YLM7BQ3,BBG4D4190644,40,4010,401020,Small Cap,,,US,Equity,Equities,North America,NYSE,Listed,Ordinary Shares,Limited Voting,Annual,USD,100,T+1,Bloomberg,S&P 500,ESXXXX,Equity / Common Stock / Listed,US,US,0A2082A43F783BE04F51,USD,USD,USD,B,Partially Compliant,78.9,164000000,48661542,1.16,58.3,1.54,13.26,38.5,1.06,49.9
IBOR-MTSI,MACOM TECHNOLOGY SOLUTIONS INC,USD,Information Technology,United States,NASDAQ,MTSI,US8779560152,RDERQZY7W,F82X9HY,BBG657EA02E4,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,CBOE,Trading,Common Stock,Full Voting,None,USD,100,T+1,Refinitiv,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,F1224CB4B0DE8FEEFE28,USD,USD,USD,CCC,Watch,89.7,122000000,2835319,1.1,26.5,0,130.81,13.1,2.85,6.5
IBOR-MU,MICRON TECHNOLOGY INC,USD,Information Technology,US,NASDAQ,MU,US5951121038,595112103,2588184,BBG000C5Z1S3,45,4510,451020,Small Cap,,,US,Equity,Equities,Global,OTC,Trading,Class B Common,Non-Voting,Annual,USD,1000,T+2,Bloomberg,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,655DADE422ED6EBACA77,USD,USD,USD,A,Partially Compliant,79.1,81000000,17251154,1.77,11.8,0.91,105.96,40.7,0.35,39.9
IBOR-NB2,NORTHERN DATA AG,EUR,Information Technology,Germany,Xetra,NB2,DE8143242358,L50Z15ZOD,Y9Q4S43,BBG1AF2F8D5F,45,4510,451020,Small Cap,,,DE,Equity,Equities,Europe,Frankfurt,Active,Class A Common,Limited Voting,None,EUR,10,T+2,Bloomberg,DAX 40,ESVUFR,Equity / Common Stock / Listed,DE,DE,54F7980136907563D919,EUR,EUR,EUR,BBB,Compliant,96.1,123000000,6391536,1.65,77.7,0,197.38,28.4,2.13,29.7
IBOR-NFLX,NETFLIX INC,USD,Communication,US,NASDAQ,NFLX,US64110L1061,64110L106,2857817,BBG000CL9VN6,99,9999,999999,Small Cap,,,US,Equity,Equities,Global,OTC,Listed,Ordinary Shares,Limited Voting,Semi-Annual,USD,100,T+2,Refinitiv,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,US,US,9722517644A2C63D7235,USD,USD,USD,CCC,Compliant,76.9,136000000,2263891,0.95,50.1,1.98,196.69,1.5,2.65,8.0
IBOR-ORCL,ORACLE CORP,USD,Information Technology,US,NYSE,ORCL,US68389X1054,68389X105,2661568,BBG000BQBHF1,45,4510,451020,Small Cap,,,US,Equity,Equities,Global,OTC,Trading,Class B Common,Limited Voting,None,USD,1000,T+2,Bloomberg,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,6A6862AEDEF2CC3BC050,USD,USD,USD,B,Compliant,83.0,184000000,35219442,1.28,71.5,0,157.15,27.0,0.55,48.5
IBOR-PEP,PEPSICO INC,USD,Consumer Staples,United States,NASDAQ,PEP,US0644462374,6CYPALUL2,YS0BJ6J,BBGC8CF801F4,30,3010,301010,Small Cap,,,US,Equity,Equities,North America,ARCA,Trading,Common Stock,Full Voting,Semi-Annual,USD,100,T+1,Refinitiv,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,314052700A2DDC5E6B51,USD,USD,USD,B,Compliant,80.0,142000000,19562159,1.29,27.5,2.61,112.41,1.3,0.91,29.0
IBOR-PLTR,PALANTIR TECHNOLOGIES INC CLASS A,USD,Information Technology,United States,NASDAQ,PLTR,US69608A1088,69608A108,BMGYYH4,BBG006KTS9P7,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Ordinary Shares,Full Voting,Annual,USD,1,T+1,Bloomberg,S&P 500,ESXXXX,Equity / Common Stock / Listed,US,US,13DF041D262842C79015,USD,USD,USD,B,Watch,77.7,63000000,38895477,1.33,54.7,2.09,127.3,9.5,2.87,26.7
IBOR-PM,PHILIP MORRIS INTERNATIONAL INC,USD,Consumer Staples,United States,New York Stock Exchange Inc.,PM,US2117413001,X3JC1N4B3,08QQCJB,BBG92F6D2B92,30,3010,301010,Small Cap,,,US,Equity,Equities,North America,ARCA,Listed,Class B Common,Full Voting,Quarterly,USD,10,T+1,Exchange,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,082AD19AB857DBE6E271,USD,USD,USD,BBB,Compliant,79.9,46000000,21477056,1.3,32.4,3.95,72.35,14.9,2.28,28.2
IBOR-PYPL,PAYPAL HOLDINGS INC,USD,Financials,United States,NASDAQ,PYPL,US6830608306,W2OXUG5BP,VNKMYLF,BBG8DCBC05E6,40,4010,401020,Small Cap,,,US,Equity,Equities,North America,NYSE,Listed,Ordinary Shares,Non-Voting,Quarterly,USD,100,T+1,Exchange,NASDAQ 100,ESXXXX,Equity / Common Stock / Listed,US,US,52BB6F93B9B28DE3B128,USD,USD,USD,AAA,Compliant,78.4,108000000,41797281,1.15,77.4,3.63,163.63,41.7,2.16,13.5
IBOR-RIOT,RIOT PLATFORMS INC,USD,Information Technology,US,NASDAQ,RIOT,US7672921050,767292105,BG0VDL0,BBG000BHJWT5,45,4510,451020,Small Cap,,,US,Equity,Equities,Global,OTC,Listed,Class B Common,Non-Voting,Annual,USD,1000,T+2,Bloomberg,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,31B56C0068BD685AA060,USD,USD,USD,BB,Partially Compliant,98.0,65000000,39647560,1.28,13.5,2.08,177.06,27.7,1.41,29.2
IBOR-RTX,RTX CORP,USD,Industrials,United States,New York Stock Exchange Inc.,RTX,US5536750351,3YJT1WJT2,YL8D7K3,BBG756DDF510,20,2010,201030,Small Cap,,,US,Equity,Equities,North America,NYSE,Listed,Ordinary Shares,Non-Voting,Annual,USD,1000,T+1,ICE,S&P 500,ESXXXX,Equity / Common Stock / Listed,US,US,B69D4D769B8C382F6B61,USD,USD,USD,AAA,Watch,86.3,102000000,37626162,0.9,37.0,1.91,112.22,36.3,1.87,32.5
IBOR-SATS,ECHOSTAR CORP CLASS A,USD,Communication,United States,NASDAQ,SATS,US0218131392,24TT6WBVK,0MC2D7M,BBG1AB8A2118,99,9999,999999,Small Cap,,,US,Equity,Equities,North America,NASDAQ,Active,Class B Common,Non-Voting,Annual,USD,100,T+1,Refinitiv,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,D2B492FCDB72DC76CA87,USD,USD,USD,BB,Partially Compliant,84.5,21000000,3111472,0.8,33.3,2.0,94.11,25.3,1.55,19.8
IBOR-SNDK,SANDISK CORP,USD,Information Technology,United States,NASDAQ,SNDK,US0838052572,O0L1BQWS2,PD1894R,BBGFDB9F4CC8,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,CBOE,Active,Class B Common,Limited Voting,Annual,USD,100,T+1,Exchange,Russell 1000,ESVUFR,Equity / Common Stock / Listed,US,US,824863885FCF41783070,USD,USD,USD,CCC,Compliant,80.7,182000000,7855439,1.78,50.9,3.23,146.44,29.4,0.08,26.4
IBOR-SNOW,SNOWFLAKE INC,USD,Information Technology,United States,New York Stock Exchange Inc.,SNOW,US5193646024,J3SYC5KUR,8X45Y30,BBG5B7AB8515,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Common Stock,Limited Voting,None,USD,10,T+1,Exchange,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,6E501DDCC0DECCFDE497,USD,USD,USD,AA,Compliant,86.6,189000000,7874963,1.15,40.9,0,86.66,15.6,0.61,27.6
