Fund Holdings as of,"28/Apr/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","486,874,962.84","0.34","486,874,962.84","1,665,156.00","292.39","United States","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","470,115,265.56","0.33","470,115,265.56","4,871,156.00","96.51","United States","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","465,939,835.52","0.33","465,939,835.52","9,863,248.00","47.24","United States","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","437,871,483.92","0.31","437,871,483.92","1,142,492.00","383.26","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","427,710,826.62","0.30","427,710,826.62","1,259,566.00","339.57","United States","NASDAQ","USD"
"T","AT&T INC","Communication","Equity","426,573,924.90","0.30","426,573,924.90","16,368,915.00","26.06","United States","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrials","Equity","422,535,993.60","0.30","422,535,993.60","1,831,380.00","230.72","United States","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communication","Equity","420,312,686.92","0.29","420,312,686.92","4,142,236.00","101.47","United States","New York Stock Exchange Inc.","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","413,260,840.74","0.29","413,260,840.74","878,867.00","470.22","United States","New York Stock Exchange Inc.","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","413,062,346.44","0.29","413,062,346.44","2,874,077.00","143.72","United States","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","408,170,586.00","0.29","408,170,586.00","2,596,505.00","157.20","United States","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","399,837,171.16","0.28","399,837,171.16","2,419,004.00","165.29","United States","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","397,253,625.36","0.28","397,253,625.36","2,190,898.00","181.32","United States","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","395,590,829.40","0.28","395,590,829.40","1,252,266.00","315.90","United States","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","386,896,357.04","0.27","386,896,357.04","829,111.00","466.64","United States","NASDAQ","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","381,780,243.00","0.27","381,780,243.00","4,067,550.00","93.86","United States","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrials","Equity","375,017,991.60","0.26","375,017,991.60","907,880.00","413.07","United States","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","374,979,899.24","0.26","374,979,899.24","2,900,974.00","129.26","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","374,230,050.00","0.26","374,230,050.00","2,494,867.00","150.00","United States","NASDAQ","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","371,295,673.98","0.26","371,295,673.98","1,386,777.00","267.74","United States","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","356,642,591.51","0.25","356,642,591.51","4,812,341.00","74.11","United States","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energy","Equity","356,141,120.16","0.25","356,141,120.16","2,864,713.00","124.32","United States","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","354,762,360.72","0.25","354,762,360.72","3,905,784.00","90.83","United States","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Equity","354,370,632.48","0.25","354,370,632.48","337,573.00","1,049.76","United States","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Health Care","Equity","352,037,433.20","0.25","352,037,433.20","13,294,465.00","26.48","United States","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Real Estate","Equity","349,512,388.86","0.24","349,512,388.86","1,631,482.00","214.23","United States","New York Stock Exchange Inc.","USD"
"SNDK","SANDISK CORP","Information Technology","Equity","345,600,256.50","0.24","345,600,256.50","344,790.00","1,002.35","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","341,966,487.78","0.24","341,966,487.78","1,889,422.00","180.99","United States","NASDAQ","USD"
"DE","DEERE","Industrials","Equity","331,863,750.02","0.23","331,863,750.02","588,557.00","563.86","United States","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","326,811,243.96","0.23","326,811,243.96","1,884,942.00","173.38","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","316,080,957.48","0.22","316,080,957.48","1,484,436.00","212.93","United States","NASDAQ","USD"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","315,720,400.00","0.22","315,720,400.00","1,313,750.00","240.32","United States","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","310,138,682.13","0.22","310,138,682.13","715,479.00","433.47","United States","New York Stock Exchange Inc.","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","309,963,578.34","0.22","309,963,578.34","792,766.00","390.99","United States","NASDAQ","USD"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","307,970,553.77","0.22","307,970,553.77","2,176,009.00","141.53","United States","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","295,902,279.93","0.21","295,902,279.93","511,031.00","579.03","United States","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","284,730,821.06","0.20","284,730,821.06","634,102.00","449.03","United States","NASDAQ","USD"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","283,961,001.48","0.20","283,961,001.48","295,098.00","962.26","United States","New York Stock Exchange Inc.","USD"
"CB","CHUBB","Financials","Equity","280,938,313.68","0.20","280,938,313.68","850,452.00","330.34","United States","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","280,773,936.30","0.20","280,773,936.30","1,461,603.00","192.10","United States","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materials","Equity","280,464,250.50","0.20","280,464,250.50","2,551,995.00","109.90","United States","New York Stock Exchange Inc.","USD"
"GLW","CORNING INC","Information Technology","Equity","279,776,471.35","0.20","279,776,471.35","1,828,007.00","153.05","United States","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Equity","278,241,651.38","0.19","278,241,651.38","1,370,446.00","203.03","United States","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","277,186,281.96","0.19","277,186,281.96","4,757,746.00","58.26","United States","New York Stock Exchange Inc.","USD"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","272,899,054.89","0.19","272,899,054.89","894,663.00","305.03","United States","New York Stock Exchange Inc.","USD"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","267,045,460.74","0.19","267,045,460.74","586,926.00","454.99","United States","NASDAQ","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","266,111,542.20","0.19","266,111,542.20","3,924,949.00","67.80","United States","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Health Care","Equity","263,099,884.08","0.18","263,099,884.08","1,469,996.00","178.98","United States","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","Information Technology","Equity","260,500,440.54","0.18","260,500,440.54","650,633.00","400.38","United States","NASDAQ","USD"
"SYK","STRYKER CORP","Health Care","Equity","259,188,294.80","0.18","259,188,294.80","806,360.00","321.43","United States","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","259,085,240.32","0.18","259,085,240.32","2,663,294.00","97.28","United States","NASDAQ","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","255,735,501.75","0.18","255,735,501.75","1,438,737.00","177.75","United States","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","255,205,072.98","0.18","255,205,072.98","593,307.00","430.14","United States","NASDAQ","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","249,249,164.25","0.17","249,249,164.25","518,459.00","480.75","United States","New York Stock Exchange Inc.","USD"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","247,678,563.60","0.17","247,678,563.60","230,099.00","1,076.40","United States","NASDAQ","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","245,459,214.00","0.17","245,459,214.00","2,997,060.00","81.90","United States","New York Stock Exchange Inc.","USD"
"SO","SOUTHERN","Utilities","Equity","243,526,535.37","0.17","243,526,535.37","2,579,457.00","94.41","United States","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","242,530,893.25","0.17","242,530,893.25","473,425.00","512.29","United States","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Health Care","Equity","240,808,201.50","0.17","240,808,201.50","2,973,675.00","80.98","United States","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financials","Equity","239,762,903.39","0.17","239,762,903.39","842,663.00","284.53","United States","NASDAQ","USD"
"MCK","MCKESSON CORP","Health Care","Equity","239,152,350.00","0.17","239,152,350.00","286,410.00","835.00","United States","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","Information Technology","Equity","233,440,627.20","0.16","233,440,627.20","959,871.00","243.20","United States","NASDAQ","USD"
"DUK","DUKE ENERGY CORP","Utilities","Equity","232,932,114.00","0.16","232,932,114.00","1,822,630.00","127.80","United States","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","231,914,028.08","0.16","231,914,028.08","8,390,522.00","27.64","United States","NASDAQ","USD"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","225,393,988.66","0.16","225,393,988.66","937,462.00","240.43","United States","New York Stock Exchange Inc.","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","223,140,174.68","0.16","223,140,174.68","729,908.00","305.71","United States","NASDAQ","USD"
"NOW","SERVICENOW INC","Information Technology","Equity","221,321,346.90","0.15","221,321,346.90","2,445,810.00","90.49","United States","New York Stock Exchange Inc.","USD"
"PWR","QUANTA SERVICES INC","Industrials","Equity","219,897,732.56","0.15","219,897,732.56","348,524.00","630.94","United States","New York Stock Exchange Inc.","USD"
"SNPS","SYNOPSYS INC","Information Technology","Equity","216,450,287.57","0.15","216,450,287.57","447,313.00","483.89","United States","NASDAQ","USD"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","214,899,779.16","0.15","214,899,779.16","1,609,254.00","133.54","United States","New York Stock Exchange Inc.","USD"
"BX","BLACKSTONE INC","Financials","Equity","212,735,342.40","0.15","212,735,342.40","1,750,620.00","121.52","United States","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","208,615,363.59","0.15","208,615,363.59","944,431.00","220.89","United States","New York Stock Exchange Inc.","USD"
"WMB","WILLIAMS INC","Energy","Equity","208,392,761.28","0.15","208,392,761.28","2,853,132.00","73.04","United States","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrials","Equity","207,731,710.35","0.15","207,731,710.35","323,343.00","642.45","United States","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","207,541,704.60","0.14","207,541,704.60","1,327,842.00","156.30","United States","New York Stock Exchange Inc.","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","207,144,395.60","0.14","207,144,395.60","636,760.00","325.31","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","206,852,897.28","0.14","206,852,897.28","1,107,824.00","186.72","United States","NASDAQ","USD"
"USB","US BANCORP","Financials","Equity","204,369,779.46","0.14","204,369,779.46","3,635,826.00","56.21","United States","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","202,438,710.95","0.14","202,438,710.95","3,463,451.00","58.45","United States","New York Stock Exchange Inc.","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","202,347,684.90","0.14","202,347,684.90","1,429,110.00","141.59","United States","New York Stock Exchange Inc.","USD"
"FDX","FEDEX CORP","Industrials","Equity","197,274,567.60","0.14","197,274,567.60","505,560.00","390.21","United States","New York Stock Exchange Inc.","USD"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","197,043,562.95","0.14","197,043,562.95","866,697.00","227.35","United States","New York Stock Exchange Inc.","USD"
"CSX","CSX CORP","Industrials","Equity","197,004,195.07","0.14","197,004,195.07","4,355,609.00","45.23","United States","NASDAQ","USD"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","195,890,445.77","0.14","195,890,445.77","3,365,237.00","58.21","United States","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","195,208,491.20","0.14","195,208,491.20","1,094,218.00","178.40","United States","New York Stock Exchange Inc.","USD"
"SLB","SLB NV","Energy","Equity","194,773,775.70","0.14","194,773,775.70","3,499,978.00","55.65","United States","New York Stock Exchange Inc.","USD"
"MRSH","MARSH INC","Financials","Equity","193,369,435.74","0.14","193,369,435.74","1,132,007.00","170.82","United States","New York Stock Exchange Inc.","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","187,520,945.04","0.13","187,520,945.04","941,512.00","199.17","United States","NASDAQ","USD"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","187,180,732.06","0.13","187,180,732.06","516,019.00","362.74","United States","New York Stock Exchange Inc.","USD"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","186,291,101.52","0.13","186,291,101.52","593,889.00","313.68","United States","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","185,271,795.13","0.13","185,271,795.13","185,271,795.00","100.00","United States","-","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","184,266,185.88","0.13","184,266,185.88","514,236.00","358.33","United States","NASDAQ","USD"
"EMR","EMERSON ELECTRIC","Industrials","Equity","182,214,011.70","0.13","182,214,011.70","1,316,385.00","138.42","United States","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","180,222,635.82","0.13","180,222,635.82","311,901.00","577.82","United States","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","180,156,374.69","0.13","180,156,374.69","1,967,417.00","91.57","United States","NASDAQ","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","179,942,798.92","0.13","179,942,798.92","1,731,218.00","103.94","United States","New York Stock Exchange Inc.","USD"
"MMM","3M","Industrials","Equity","179,846,605.19","0.13","179,846,605.19","1,231,573.00","146.03","United States","New York Stock Exchange Inc.","USD"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","179,390,650.88","0.13","179,390,650.88","1,567,552.00","114.44","United States","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Health Care","Equity","175,512,999.36","0.12","175,512,999.36","616,008.00","284.92","United States","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","175,466,332.50","0.12","175,466,332.50","2,997,375.00","58.54","United States","NASDAQ","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","174,867,137.28","0.12","174,867,137.28","539,264.00","324.27","United States","New York Stock Exchange Inc.","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","173,374,637.76","0.12","173,374,637.76","536,166.00","323.36","United States","New York Stock Exchange Inc.","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","172,442,332.27","0.12","172,442,332.27","235,651.00","731.77","United States","NASDAQ","USD"
"EOG","EOG RESOURCES INC","Energy","Equity","172,296,265.86","0.12","172,296,265.86","1,268,937.00","135.78","United States","New York Stock Exchange Inc.","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","171,491,655.79","0.12","171,491,655.79","1,264,781.00","135.59","United States","NASDAQ","USD"
"VLO","VALERO ENERGY CORP","Energy","Equity","171,364,408.32","0.12","171,364,408.32","713,216.00","240.27","United States","New York Stock Exchange Inc.","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","171,337,273.20","0.12","171,337,273.20","113,915.00","1,504.08","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","170,564,384.32","0.12","170,564,384.32","756,316.00","225.52","United States","NASDAQ","USD"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","168,400,886.40","0.12","168,400,886.40","387,360.00","434.74","United States","New York Stock Exchange Inc.","USD"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","166,877,009.75","0.12","166,877,009.75","2,113,705.00","78.95","United States","New York Stock Exchange Inc.","USD"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","166,004,496.63","0.12","166,004,496.63","524,153.00","316.71","United States","New York Stock Exchange Inc.","USD"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","164,629,025.64","0.12","164,629,025.64","613,212.00","268.47","United States","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Equity","164,391,846.58","0.11","164,391,846.58","358,942.00","457.99","United States","New York Stock Exchange Inc.","USD"
"KKR","KKR AND CO INC","Financials","Equity","163,152,600.00","0.11","163,152,600.00","1,609,000.00","101.40","United States","New York Stock Exchange Inc.","USD"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","161,764,064.41","0.11","161,764,064.41","1,888,223.00","85.67","United States","New York Stock Exchange Inc.","USD"
"AON","AON PLC CLASS A","Financials","Equity","161,651,598.64","0.11","161,651,598.64","502,523.00","321.68","United States","New York Stock Exchange Inc.","USD"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","160,441,047.18","0.11","160,441,047.18","689,802.00","232.59","United States","New York Stock Exchange Inc.","USD"
"ECL","ECOLAB INC","Materials","Equity","159,411,693.52","0.11","159,411,693.52","597,137.00","266.96","United States","New York Stock Exchange Inc.","USD"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","158,103,452.16","0.11","158,103,452.16","366,048.00","431.92","United States","New York Stock Exchange Inc.","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","157,829,668.15","0.11","157,829,668.15","520,289.00","303.35","United States","New York Stock Exchange Inc.","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","156,754,172.52","0.11","156,754,172.52","505,626.00","310.02","United States","New York Stock Exchange Inc.","USD"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","156,711,336.39","0.11","156,711,336.39","2,315,817.00","67.67","United States","NASDAQ","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","156,571,603.65","0.11","156,571,603.65","5,809,707.00","26.95","United States","NASDAQ","USD"
"CIEN","CIENA CORP","Information Technology","Equity","156,330,015.94","0.11","156,330,015.94","330,026.00","473.69","United States","New York Stock Exchange Inc.","USD"
"PSX","PHILLIPS 66","Energy","Equity","155,928,295.88","0.11","155,928,295.88","944,276.00","165.13","United States","New York Stock Exchange Inc.","USD"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","154,709,604.00","0.11","154,709,604.00","763,056.00","202.75","United States","New York Stock Exchange Inc.","USD"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","152,252,827.68","0.11","152,252,827.68","131,928.00","1,154.06","United States","New York Stock Exchange Inc.","USD"
