InstrumentId,InstrumentIdType,Provider,QuoteType,Field,EffectiveAt,Value,Unit
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-06,1.281,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-06,1.0812,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-07,1.2827,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-07,1.0815,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-08,1.2839,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-08,1.0842,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-09,1.2872,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-09,1.0849,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-12,1.2832,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-12,1.0844,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-13,1.2856,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-13,1.082,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-14,1.28,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-14,1.0838,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-15,1.2702,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-15,1.0852,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-16,1.2681,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-16,1.0886,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-19,1.2649,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-19,1.0872,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-20,1.2685,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-20,1.0875,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-21,1.2713,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-21,1.0876,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-22,1.2669,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-22,1.0876,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-23,1.2704,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-23,1.0878,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-26,1.2668,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-26,1.0843,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-27,1.2667,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-27,1.0863,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-28,1.2658,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-28,1.0879,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-02-29,1.2665,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-02-29,1.0906,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-01,1.2699,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-01,1.0957,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-04,1.2726,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-04,1.0952,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-05,1.2742,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-05,1.0953,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-06,1.2769,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-06,1.0955,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-07,1.279,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-07,1.1,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-08,1.2769,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-08,1.0964,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-11,1.2744,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-11,1.0977,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-12,1.2729,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-12,1.0947,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-13,1.2751,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-13,1.0893,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-14,1.2744,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-14,1.0851,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-15,1.2836,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-15,1.0823,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-18,1.2807,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-18,1.0848,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-19,1.2767,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-19,1.0831,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-20,1.2799,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-20,1.0828,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-21,1.2856,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-21,1.0805,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-22,1.2878,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-22,1.082,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-25,1.2913,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-25,1.0798,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-26,1.2971,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-26,1.0829,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-27,1.297,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-27,1.081,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-28,1.2917,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-28,1.0796,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-03-29,1.2899,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-03-29,1.0801,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-01,1.2938,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-01,1.0804,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-02,1.2885,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-02,1.0837,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-03,1.2889,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-03,1.0842,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-04,1.2901,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-04,1.0818,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-05,1.2891,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-05,1.0808,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-08,1.2922,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-08,1.0798,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-09,1.2947,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-09,1.0816,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-10,1.304,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-10,1.0826,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-11,1.3067,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-11,1.0826,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-12,1.3046,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-12,1.0847,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-15,1.3027,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-15,1.0838,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-16,1.2997,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-16,1.0837,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-17,1.3037,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-17,1.0843,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-18,1.3017,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-18,1.0878,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-19,1.3017,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-19,1.0878,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-22,1.3049,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-22,1.0873,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-23,1.3023,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-23,1.0852,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-24,1.3014,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-24,1.0869,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-25,1.2945,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-25,1.0858,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-26,1.2906,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-26,1.0868,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-29,1.2887,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-29,1.0829,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-04-30,1.2906,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-04-30,1.0854,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-01,1.2955,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-01,1.0827,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-02,1.2957,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-02,1.0812,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-03,1.297,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-03,1.0837,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-06,1.2979,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-06,1.081,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-07,1.3024,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-07,1.081,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-08,1.3062,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-08,1.0814,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-09,1.3075,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-09,1.0795,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-10,1.3038,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-10,1.0826,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-13,1.3076,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-13,1.0861,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-14,1.3094,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-14,1.082,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-15,1.3145,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-15,1.0791,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-16,1.3146,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-16,1.0811,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-17,1.3226,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-17,1.0785,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-20,1.3214,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-20,1.0779,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-21,1.328,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-21,1.0784,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-22,1.3287,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-22,1.0801,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-23,1.3269,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-23,1.0798,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-24,1.3227,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-24,1.0802,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-27,1.3224,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-27,1.0787,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-28,1.3283,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-28,1.0817,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-29,1.3318,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-29,1.0808,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-30,1.3348,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-30,1.0818,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-05-31,1.3256,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-05-31,1.0809,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-03,1.3287,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-03,1.0813,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-04,1.3312,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-04,1.0812,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-05,1.3293,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-05,1.0811,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-06,1.3271,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-06,1.0791,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-07,1.3274,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-07,1.081,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-10,1.3345,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-10,1.0843,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-11,1.3305,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-11,1.085,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-12,1.3291,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-12,1.0868,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-13,1.3348,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-13,1.0888,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-14,1.3333,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-14,1.091,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-17,1.3321,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-17,1.0919,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-18,1.3328,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-18,1.0926,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-19,1.3281,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-19,1.0947,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-20,1.3292,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-20,1.0951,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-21,1.3246,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-21,1.0932,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-24,1.3284,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-24,1.0935,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-25,1.3287,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-25,1.0896,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-26,1.3381,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-26,1.0898,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-27,1.3395,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-27,1.0909,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-06-28,1.3453,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-06-28,1.0938,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-01,1.3403,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-01,1.0943,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-02,1.3401,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-02,1.0966,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-03,1.3417,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-03,1.0968,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-04,1.349,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-04,1.0948,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-05,1.3425,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-05,1.0919,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-08,1.3468,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-08,1.09,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-09,1.3495,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-09,1.0872,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-10,1.356,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-10,1.0888,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-11,1.3592,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-11,1.0886,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-12,1.3597,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-12,1.0901,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-15,1.3578,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-15,1.0905,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-16,1.353,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-16,1.093,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-17,1.3541,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-17,1.0955,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-18,1.3536,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-18,1.0943,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-19,1.3621,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-19,1.0939,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-22,1.3599,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-22,1.093,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-23,1.3615,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-23,1.0897,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-24,1.3554,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-24,1.0914,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-25,1.3541,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-25,1.0942,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-26,1.3554,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-26,1.0944,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-29,1.359,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-29,1.0935,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-30,1.3652,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-30,1.0961,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-07-31,1.3653,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-07-31,1.0912,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-01,1.361,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-01,1.0918,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-02,1.3631,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-02,1.0923,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-05,1.3655,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-05,1.0913,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-06,1.3678,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-06,1.0946,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-07,1.3652,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-07,1.0969,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-08,1.3701,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-08,1.0965,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-09,1.3707,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-09,1.0965,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-12,1.3739,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-12,1.0959,USD/EUR
GBP/USD,CurrencyPair,Client,Price,mid,2024-08-13,1.3794,USD/GBP
EUR/USD,CurrencyPair,Client,Price,mid,2024-08-13,1.095,USD/EUR
